"","gross","color","duration","director_facebook_likes","genres","num_voted_users","cast_total_facebook_likes","facenumber_in_poster","num_user_for_reviews","language","country","content_rating","budget","title_year","imdb_score","aspect_ratio","movie_facebook_likes","total_facebook_likes"
"1",760.505847,"Color",178,0,"Action",886204,4834,0,3054,"English","USA","PG-13",237,2009,7.9,1.78,33000,7625
"3",200.074175,"Color",148,0,"Action",275868,11700,1,994,"English","UK","PG-13",245,2015,6.8,2.35,85000,23254
"5",73.058679,"Color",132,475,"Action",212204,1873,1,738,"English","USA","PG-13",263.7,2012,6.6,2.35,24000,4150
"6",336.530303,"Color",156,0,"Action",383056,46055,0,1902,"English","USA","PG-13",258,2007,6.2,2.35,0,85055
"7",200.807262,"Color",100,15,"Adventure",294810,2036,1,387,"English","USA","PG",260,2010,7.8,1.85,29000,3687
"8",458.991599,"Color",141,0,"Action",462669,92000,4,1117,"English","USA","PG-13",250,2015,7.5,2.35,118000,158000
"9",301.95698,"Color",153,282,"Adventure",321795,58753,3,973,"English","UK","PG",250,2009,7.5,2.35,10000,105035
"10",330.249062,"Color",183,0,"Action",371639,24450,0,3018,"English","USA","PG-13",250,2016,6.9,2.35,197000,45450
"11",200.069408,"Color",169,0,"Action",240396,29991,0,2367,"English","USA","PG-13",209,2006,6.1,2.35,0,58894
"12",168.368427,"Color",106,395,"Action",330784,2023,1,1243,"English","UK","PG-13",200,2008,6.7,2.35,0,3674
"13",423.032628,"Color",151,563,"Action",522040,48486,2,1832,"English","USA","PG-13",225,2006,7.3,2.35,5000,95049
"14",89.28991,"Color",150,563,"Action",181792,45757,1,711,"English","USA","PG-13",215,2013,6.5,2.35,48000,89320
"15",291.021565,"Color",143,0,"Action",548573,20495,0,2536,"English","USA","PG-13",225,2013,7.2,2.35,118000,39243
"16",141.614023,"Color",150,80,"Action",149922,22697,4,438,"English","USA","PG",225,2008,6.6,2.35,0,45194
"17",623.279547,"Color",173,0,"Action",995415,87697,3,1722,"English","USA","PG-13",220,2012,8.1,1.85,123000,153697
"18",241.063875,"Color",136,252,"Action",370704,54083,4,484,"English","USA","PG-13",250,2011,6.7,2.35,58000,106335
"19",179.020854,"Color",106,188,"Action",268154,12572,1,341,"English","USA","PG-13",225,2012,6.8,1.85,40000,24294
"20",255.10837,"Color",164,0,"Adventure",354228,9152,0,802,"English","other","PG-13",250,2014,7.5,2.35,65000,15897
"21",262.030663,"Color",153,464,"Action",451803,28489,0,1225,"English","USA","PG-13",230,2012,7,2.35,56000,54916
"22",105.219735,"Color",156,0,"Action",211765,3244,0,546,"English","USA","PG-13",200,2010,6.7,2.35,17000,5755
"23",258.355354,"Color",186,0,"Adventure",483540,9152,6,951,"English","USA","PG-13",225,2013,7.9,2.35,83000,15897
"24",70.083519,"Color",113,129,"Adventure",149019,24106,2,666,"English","USA","PG-13",180,2007,6.1,2.35,0,47235
"25",218.05126,"Color",201,0,"Action",316018,7123,0,2618,"English","other","PG-13",207,2005,7.2,2.35,0,14126
"26",658.672302,"Color",194,0,"Drama",793059,45223,0,2528,"English","USA","PG-13",200,1997,7.7,2.35,26000,89017
"27",407.197282,"Color",147,94,"Action",272670,64798,0,1022,"English","USA","PG-13",250,2016,8.2,2.35,72000,115892
"28",65.17316,"Color",131,532,"Action",202382,26679,0,751,"English","USA","PG-13",209,2012,5.9,2.35,44000,51838
"29",652.177271,"Color",124,365,"Action",418214,8458,0,1290,"English","USA","PG-13",150,2015,7,2,150000,14823
"30",304.360277,"Color",143,0,"Action",522030,2039,0,1498,"English","UK","PG-13",200,2012,7.8,2.35,80000,3878
"31",373.377893,"Color",135,0,"Action",411164,43388,1,1303,"English","USA","PG-13",200,2004,7.3,2.35,0,82388
"32",408.992272,"Color",195,1000,"Action",557489,30426,3,1187,"English","USA","PG-13",200,2013,7.2,2.35,95000,59426
"33",334.185206,"Color",108,13000,"Adventure",306320,79957,0,736,"English","USA","PG",200,2010,6.5,1.85,24000,168957
"34",234.360014,"Color",104,420,"Action",383427,21714,0,1912,"English","other","PG-13",210,2006,6.8,2.35,0,43502
"35",268.488329,"Color",104,37,"Adventure",235025,14863,0,265,"English","USA","G",200,2013,7.3,1.85,44000,28439
"36",402.076689,"Color",150,0,"Action",323207,3218,0,1439,"English","USA","PG-13",200,2009,6,2.35,0,5157
"37",245.428137,"Color",165,0,"Action",242420,3988,2,918,"English","USA","PG-13",210,2014,5.7,2.35,56000,6726
"38",234.903076,"Color",130,0,"Adventure",175409,73441,4,511,"English","USA","PG",215,2013,6.4,2.35,60000,143441
"39",202.853933,"Color",142,464,"Action",321227,28631,0,1067,"English","USA","PG-13",200,2014,6.7,2.35,41000,54920
"40",172.051787,"Color",125,364,"Action",264183,25550,0,665,"English","USA","PG",170,2010,6.8,2.35,30000,48914
"41",191.450875,"Color",106,487,"Adventure",101178,4482,0,283,"English","USA","G",200,2011,6.3,2.35,10000,7664
"42",116.593191,"Color",123,258,"Action",223393,17657,2,550,"English","USA","PG-13",200,2011,5.6,2.35,24000,34609
"43",414.984497,"Color",103,125,"Adventure",544884,19085,3,733,"English","USA","G",200,2010,8.3,1.85,30000,35931
"44",125.320003,"Color",118,368,"Action",286095,27468,0,974,"English","USA","PG-13",200,2009,6.6,2.35,0,54824
"45",350.03411,"Color",140,0,"Action",278232,79150,0,657,"English","USA","PG-13",190,2015,7.2,2.35,94000,142150
"46",202.351611,"Color",123,395,"Action",465019,32392,0,995,"English","USA","PG-13",190,2013,7,2.35,129000,61787
"47",233.914986,"Color",149,0,"Action",514125,91434,7,752,"English","USA","PG-13",200,2014,8,2.35,82000,167434
"48",228.756232,"Color",132,14000,"Action",395573,21411,0,1171,"English","USA","PG-13",190,2013,7.8,2.35,92000,56320
"49",65.17186,"Color",114,0,"Adventure",106416,1766,1,205,"English","USA","PG-13",195,2013,6.3,2.35,22000,3442
"50",144.812796,"Color",143,1000,"Drama",362912,29770,4,753,"English","other","PG-13",105,2013,7.3,2.35,115000,60356
"51",90.755643,"Color",116,179,"Action",222403,16149,2,453,"English","USA","PG-13",200,2010,6.6,2.35,23000,32131
"52",101.785482,"Color",131,0,"Action",381148,19166,0,1106,"English","USA","PG-13",190,2013,7,1.85,83000,37053
"53",352.358779,"Color",154,0,"Action",326180,2593,2,899,"English","USA","PG-13",195,2011,6.3,2.35,46000,4897
"54",317.011114,"Color",122,14000,"Action",333847,14959,2,2054,"English","USA","PG-13",185,2008,6.2,2.35,5000,41959
"55",237.282182,"Color",93,56,"Adventure",273556,5005,0,428,"English","USA","PG",185,2012,7.2,2.35,39000,8899
"56",130.468626,"Color",122,681,"Action",53607,1327,4,432,"English","USA","PG-13",185,2016,7.5,2.35,30000,3230
"57",223.806889,"Color",98,475,"Adventure",718837,2975,0,1043,"English","USA","G",180,2008,8.4,2.35,16000,5701
"58",140.08085,"Color",91,420,"Action",121084,1125,2,221,"English","USA","PG-13",140,2007,6.2,2.35,0,2254
"59",166.112167,"Color",158,776,"Action",283418,2144,0,1055,"English","USA","PG-13",200,2009,5.8,2.35,13000,4698
"60",137.850096,"Color",96,0,"Animation",72809,48878,0,249,"English","USA","PG",200,2009,6.8,2.35,0,90878
"61",47.375327,"Color",127,0,"Action",139593,47334,1,720,"English","USA","PG-13",176,2015,5.4,2.35,44000,92334
"62",124.051759,"Color",110,282,"Action",42372,21175,2,239,"English","USA","PG-13",180,2016,6.6,2.35,29000,42560
"63",291.709845,"Color",150,80,"Adventure",286506,1317,5,1463,"English","USA","PG",180,2005,6.9,2.35,0,2669
"64",154.985087,"Color",144,0,"Action",148379,49684,6,622,"English","USA","PG-13",178,2016,7.3,2.35,54000,97684
"65",533.316061,"Color",152,22000,"Action",1676169,57802,0,4667,"English","USA","PG-13",185,2008,9,2.35,37000,126802
"66",292.979556,"Color",96,0,"Adventure",665575,2635,1,704,"English","USA","PG",175,2009,8.3,1.85,27000,4745
"67",198.332128,"Color",94,11,"Action",114553,2579,2,187,"English","USA","PG",175,2009,6.5,2.35,0,5022
"68",318.29818,"Color",126,4000,"Action",696338,39252,3,1055,"English","USA","PG-13",140,2008,7.9,2.35,10000,80252
"69",73.820094,"Color",126,17000,"Adventure",245333,36017,0,678,"English","USA","PG",170,2011,7.5,1.85,42000,87017
"70",113.745408,"Color",106,188,"Action",129601,15870,2,648,"English","USA","PG-13",170,1999,4.8,1.85,0,30640
"71",102.176165,"Color",112,357,"Action",117927,9131,2,501,"English","USA","PG-13",145,2008,5.2,2.35,0,18083
"72",161.087183,"Color",123,452,"Action",118992,11287,8,971,"English","USA","PG-13",175,2016,6.9,2.35,80000,22404
"74",100.189501,"Color",113,218,"Action",431620,12652,1,741,"English","USA","PG-13",178,2014,7.9,2.35,77000,24233
"75",88.24622,"Color",176,58,"Action",144337,1004,0,309,"English","USA","PG-13",175,1995,6.1,1.85,0,1893
"76",150.16763,"Color",118,208,"Action",174578,26683,4,534,"English","USA","PG-13",175,2009,5.8,2.35,0,52461
"77",356.454367,"Color",95,0,"Adventure",345198,2944,1,773,"English","USA","PG",175,2015,8.3,1.85,118000,5095
"78",362.645141,"Color",106,4000,"Adventure",106072,32921,0,398,"English","UK","PG",175,2016,7.8,1.85,65000,69512
"79",312.057433,"Color",124,4000,"Action",522371,48638,4,723,"English","USA","PG-13",200,2010,7,2.35,18000,96638
"80",155.111815,"Color",132,274,"Action",228554,72881,0,710,"English","USA","PG-13",170,2012,6.1,2.35,53000,127155
"81",241.407328,"Color",97,171,"Action",252257,15516,2,634,"English","USA","PG",180,2014,7,2.35,89000,29533
"82",208.543795,"Color",130,198,"Action",317542,14363,0,620,"English","USA","PG-13",170,2014,7.6,1.85,45000,27445
"83",38.297305,"Color",128,47,"Action",116994,20965,2,324,"English","USA","PG-13",175,2013,6.3,2.35,35000,40994
"84",259.746958,"Color",136,94,"Action",496749,36188,1,742,"English","USA","PG-13",170,2014,7.8,2.35,55000,68282
"85",238.371987,"Color",93,31,"Adventure",138661,4628,2,173,"English","USA","PG",165,2010,6.4,2.35,0,9097
"86",93.417865,"Color",130,663,"Action",128306,5046,2,497,"English","USA","PG",190,2015,6.5,2.2,37000,8951
"87",222.487711,"Color",102,38,"Action",279093,2963,0,433,"English","USA","PG",165,2014,7.9,2.39,41000,5038
"88",189.412677,"Color",101,66,"Adventure",272534,4451,1,345,"English","USA","PG",165,2012,7.8,2.35,40000,7256
"89",0.665426,"Color",100,0,"Adventure",120798,16264,0,444,"English","USA","G",165,2004,6.6,2.35,10000,32257
"90",102.315545,"Color",120,776,"Action",58137,3233,0,520,"English","USA","PG-13",165,2016,5.5,2.35,67000,6246
"91",217.387997,"Color",98,255,"Adventure",485430,20453,0,492,"English","USA","PG",165,2010,8.2,2.35,33000,40420
"92",150.350192,"Color",109,84,"Action",305340,1769,0,1676,"English","USA","R",200,2003,6.4,2.35,0,2976
"93",333.130696,"Color",121,571,"Action",682155,32438,3,1097,"English","USA","PG-13",170,2014,8.1,2.35,96000,64009
"95",292.568851,"Color",148,22000,"Action",1468200,81115,0,2803,"English","USA","PG-13",160,2010,8.8,2.35,175000,182115
"96",144.51231,"Color",106,357,"Action",272223,45327,2,988,"English","USA","PG-13",38,2001,6.7,2.35,14000,86684
"97",127.490802,"Color",166,21000,"Drama",459346,13333,2,822,"English","USA","PG-13",150,2008,7.8,2.35,23000,47252
"98",146.405371,"Color",132,905,"Action",518537,50983,3,698,"English","USA","PG-13",160,2011,7.8,2.35,54000,99888
"99",281.666058,"Color",137,508,"Adventure",166137,81385,1,383,"English","USA","PG-13",160,2015,6.6,2.35,38000,151893
"100",63.143812,"Color",109,226,"Action",124185,13388,0,238,"English","USA","PG",150,2010,6.1,2.35,11000,26402
"101",60.655503,"Color",98,249,"Action",82380,92456,0,629,"English","USA","PG-13",160,2006,5.6,2.35,0,182407
"102",76.846624,"Color",113,33,"Adventure",21352,80806,1,131,"English","USA","PG",170,2016,6.4,1.85,30000,156839
"103",320.706665,"Color",93,50,"Adventure",211971,4705,2,326,"English","USA","PG",160,2007,6.1,1.85,0,9242
"104",46.978995,"Color",123,0,"Action",111609,5505,0,781,"English","USA","PG-13",160,2016,7.3,2.35,89000,9869
"105",89.732035,"Color",126,230,"Action",188457,38873,2,867,"English","USA","PG-13",155,2015,6.6,2.35,82000,75103
"106",104.383624,"Color",113,150,"Adventure",106446,764,4,227,"English","USA","PG",155,2010,6.3,1.78,11000,1586
"107",198.539855," Black and White",184,0,"Action",254111,5401,0,1999,"English","USA","PG-13",140,2001,6.1,2.35,0,10053
"108",318.759914,"Color",144,0,"Action",513158,2333,0,1782,"English","USA","PG-13",150,2007,7.1,2.35,8000,4175
"109",34.293771,"Color",206,0,"Action",138863,24598,3,1390,"English","other","R",155,2004,5.5,2.35,0,48189
"110",292.000866,"Color",138,282,"Adventure",355137,33433,3,1108,"English","UK","PG-13",150,2007,7.5,2.35,0,66402
"111",289.994397,"Color",157,179,"Adventure",385670,53413,1,1896,"English","UK","PG-13",150,2005,7.6,2.35,0,95592
"112",227.946274,"Color",102,532,"Action",343648,21584,0,590,"English","USA","PG-13",150,2008,6.4,2.35,0,42095
"113",256.386216,"Color",104,508,"Drama",530870,13076,0,1413,"English","USA","PG-13",150,2007,7.2,2.35,11000,25142
"114",206.456431,"Color",115,13000,"Adventure",320284,57844,3,1361,"English","USA","PG",150,2005,6.7,1.85,0,127432
"115",206.435493,"Color",111,663,"Animation",473887,4764,0,626,"English","USA","G",150,2007,8,2.35,10000,8381
"116",205.343774,"Color",128,22000,"Action",980946,59558,0,2685,"English","USA","PG-13",150,2005,8.3,2.35,15000,129558
"117",179.982968,"Color",89,35,"Action",146019,3285,0,119,"English","USA","PG",150,2008,6.7,1.85,0,5607
"118",177.243721,"Color",105,189,"Adventure",130272,54039,2,209,"English","USA","PG",150,2009,5.9,2.35,2000,107228
"119",179.883016,"Color",119,151,"Action",361924,40054,0,641,"English","USA","PG-13",150,2009,6.7,2.35,0,78205
"120",139.259759,"Color",129,0,"Action",364948,1062,0,2121,"English","other","R",150,2003,6.7,2.35,0,1873
"121",400.7366,"Color",102,69,"Adventure",421658,2582,0,904,"English","USA","PG",150,2013,7.6,2.24,58000,4664
"122",281.492479,"Color",138,0,"Action",421818,534,0,2789,"English","USA","R",150,2003,7.2,2.35,0,996
"123",206.360018,"Color",112,230,"Action",414070,59803,3,532,"English","USA","PG-13",170,2013,7.1,2.35,63000,118033
"124",153.629485,"Color",120,750,"Action",552503,40025,0,1588,"English","other","R",150,2015,8.1,2.35,191000,77718
"125",133.375846,"Color",146,2000,"Mystery",207839,16948,2,435,"English","USA","PG-13",150,2009,6.7,2.35,0,34987
"126",181.015141,"Color",115,0,"Action",536314,60059,1,738,"English","USA","PG-13",150,2011,7,2.35,63000,118059
"127",114.053579,"Color",96,59,"Adventure",146766,20007,0,178,"English","USA","PG",150,2008,6.9,1.85,0,38524
"128",119.420252,"Color",88,12,"Action",33042,2217,0,90,"English","USA","PG",150,2009,5.1,2.35,0,3748
"129",83.640426,"Color",99,473,"Action",152826,16184,0,253,"English","USA","PG-13",150,2012,5.8,1.85,19000,32056
"130",79.711678,"Color",113,13000,"Comedy",199039,80849,7,479,"English","USA","PG-13",100,2012,6.2,1.85,82000,166849
"131",195.000874,"Color",131,188,"Action",232187,21840,0,440,"English","other","PG-13",150,2015,7.4,2.35,47000,42669
"132",61.937495,"Color",119,394,"Drama",89442,13071,0,432,"English","USA","R",150,2010,5.8,1.85,0,26117
"133",124.051759,"Color",110,282,"Action",42372,21175,2,239,"English","USA","PG-13",180,2016,6.6,2.35,29000,42560
"134",126.597121,"Color",91,58,"Adventure",105902,6576,0,206,"English","USA","PG",150,2007,6.2,1.85,0,10312
"135",165.230261,"Color",90,90,"Action",182718,21015,0,209,"English","USA","PG",150,2011,7.3,2.35,20000,42120
"136",131.564731,"Color",103,0,"Action",118951,2857,0,1382,"English","USA","PG",150,2010,4.2,2.35,18000,4959
"137",133.382309,"Color",124,14000,"Action",256695,34817,0,871,"English","USA","PG-13",150,2006,6.9,2.35,0,81796
"138",73.103784,"Color",131,776,"Action",164238,18204,2,434,"English","USA","PG-13",150,2013,6.4,2.35,33000,36787
"139",21.379315,"Color",88,25,"Action",17590,2652,0,112,"English","USA","PG",150,2011,5.4,2.35,0,4593
"140",64.459316,"Color",85,42,"Adventure",85086,35161,0,122,"English","UK","PG",149,2006,6.7,1.85,0,69789
"141",34.964818,"Color",111,456,"Adventure",39956,21393,4,186,"English","USA","PG",150,2015,5.8,2.35,24000,42791
"142",111.505642,"Color",92,50,"Adventure",47900,5810,2,130,"English","USA","PG",145,2014,6.9,1.85,11000,10377
